Player,Salary_2025_26
Ace Bailey,9069840.0
Naji Marshall,9000000.0
Jalen Smith,9000000.0
Ty Jerome,8781000.0
Ausar Thompson,8775000.0
Brook Lopez,8750000.0
Quentin Grimes,8741209.0
Ron Holland,8657280.0
Sam Merrill,8482144.0
Jaylin Williams,8450704.0
Shaedon Sharpe,8399983.0
Kelly Oubre Jr.,8382150.0
Goga Bitadze,8333333.0
Simone Fontecchio,8307692.0
Tre Johnson,8237640.0
Player,
Georges Niang,8200000.0
Zeke Nnaji,8177778.0
Vasilije Micić,8109150.0
Deandre Ayton,43654814.0
Tre Mann,8000000.0
Tre Jones,8000000.0
Kevon Looney,8000000.0
Jock Landale,10296274.0
Anthony Black,7970280.0
Tidjane Salaün,7863240.0
Max Christie,7714286.0
Dyson Daniels,7707709.0
Isaiah Jackson,7600000.0
Jeremiah Fears,7520040.0
Ayo Dosunmu,7518518.0
Bilal Coulibaly,7275600.0
Payton Pritchard,7232143.0
Donovan Clingan,7178400.0
Kenrich Williams,7163000.0
Jeremy Sochan,7096231.0
Player,
Tyus Jones,7000000.0
Egor Demin,6889200.0
Jevon Carter,6809524.0
Clint Capela,6700000.0
Ousmane Dieng,6670882.0
Jarace Walker,6665520.0
Dean Wade,6623456.0
Jalen Williams,6580997.0
Rob Dillingham,6576120.0
Jalen Duren,6483144.0
Ochai Agbaji,6383525.0
Collin Murray-Boyles,6332520.0
Mark Williams,6276531.0
Day'Ron Sharpe,6250000.0
Ziaire Williams,6250000.0
John Konchar,6165000.0
Taylor Hendricks,6127080.0
Saddiq Bey,6118644.0
Zach Edey,6045000.0
Khaman Maluach,6016080.0
Player,
Jake LaRavia,6000000.0
Jaden Hardy,6000000.0
Cam Thomas,5993172.0
Cason Wallace,5820240.0
Cody Williams,5742480.0
Cedric Coward,5715120.0
Al Horford,5685000.0
D'Angelo Russell,5685000.0
Tari Eason,5675766.0
Haywood Highsmith,5616000.0
Nicolas Batum,5601600.0
Jett Howard,5529720.0
Guerschon Yabusele,5500000.0
Matas Buzelis,5455560.0
Noa Essengue,5429520.0
Dario Šarić,5426400.0
Kris Dunn,5426400.0
Dalen Terry,5399118.0
Bradley Beal,59020270.0
Paul Reed,5335894.0
Player,
Dereck Lively II,5253360.0
Nikola Topić,5182920.0
Derik Queen,5157960.0
Kevin Porter Jr.,5134000.0
Marcus Smart,26720855.0
Andre Drummond,5000000.0
Moritz Wagner,5000000.0
Nick Richards,5000000.0
Gradey Dick,4990560.0
Malaki Branham,4962033.0
Devin Carter,4923720.0
Christian Braun,4921797.0
Carter Bryant,4900320.0
Walker Kessler,4878938.0
Jordan Hawkins,4741320.0
Blake Wesley,7022602.0
Bub Carrington,4677600.0
Thomas Sorber,4655040.0
Kobe Bufkin,4503720.0
Jose Alvarado,4500000.0
Player,
Nikola Jović,4445417.0
Kel'el Ware,4443360.0
Yang Hansen,4422360.0
Peyton Watson,4356476.0
Miles McBride,4333333.0
Keyonte George,4278960.0
Jared McCain,4221360.0
Joan Beringer,4201080.0
Kevin Love,4150000.0
Dalton Knecht,4010160.0
Ryan Rollins,4000000.0
Dwight Powell,4000000.0
Walter Clayton,3991320.0
Jaime Jaquez Jr.,3861600.0
Nolan Traoré,3811560.0
